filename,classification
ECE Design Experience - S25/Assigments/ Ethics Assignment Guidance,other
ECE Design Experience - S25/Assigments/Do Artifacts Have Politics? by Langdon Winner,other
ECE Design Experience - S25/Assigments/What is Red Teaming? by Frontier Model Forum,other
ECE Design Experience - S25/Course Documents/Schedule,schedule
ECE Design Experience - S25/Course Documents/Syllabus,syllabus
ECE Design Experience - S25/Lectures/Lecture 1 (Mon Jan 13),other
ECE Design Experience - S25/Lectures/Lecture 2 Project Ideations (Wed Jan 15),other
ECE Design Experience - S25/Lectures/Lecture 3 Design (Wed Jan 22),other
ECE Design Experience - S25/Milestones/ Design Review Guidance,other
ECE Design Experience - S25/Milestones/ Final Presentation Guidance,other
ECE Design Experience - S25/Milestones/ Interim Demo Guidance,other
ECE Design Experience - S25/Milestones/ Proposal Presentation Guidance,other
ECE Design Experience - S25/Milestones/ Website Guidance,other
ECE Design Experience - S25/Milestones/Abstract Guidance,other
ECE Design Experience - S25/Milestones/Final Poster Guidance,other
ECE Design Experience - S25/Milestones/Final Report Guidance,other
ECE Design Experience - S25/Milestones/Final Video Guidance,other
ECE Design Experience - S25/Procedures/ Purchasing Guidance,other
Elementary French I Online/Syllabus/103 Chat Assignments.pdf,syllabus
Elementary French I Online/Syllabus/103 Individual Meeting Schedule and Preparation.pdf,syllabus
Elementary French I Online/Syllabus/103 Syllabus Spring 2025.pdf,syllabus
Fundamentals of Semiconductor Devices/Course Information/18310S25-Syllabus_PartA.pdf,syllabus
Fundamentals of Semiconductor Devices/Course Information/Course Schedule.pdf,schedule
Fundamentals of Semiconductor Devices/Course Information/Office Hours.pdf,other
Fundamentals of Semiconductor Devices/Exam 1 Solutions/Solutoin=Exam1-02122025.pdf,other
Fundamentals of Semiconductor Devices/Homework and Solutions/Homework 4.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/2-17-Lecture 07-PN-Junction.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/2-19-Lecture 08-Diode-Equation.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/2-24-Lecture 09-PhotoDiode-SolarCell.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/Lecture 01 Semiconductor.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/Lecture 02-Carrier Density.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/Lecture 03-RG Process.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/Lecture 04-Diffusion.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/Lecture 05-Mobility.pdf,other
Fundamentals of Semiconductor Devices/Lecture Slides/Lecture 06-IC-Fabrication.pdf,other
Fundamentals of Semiconductor Devices/Previous Exams/18310S23_Exam1.pdf,other
Fundamentals of Semiconductor Devices/Previous Exams/18310S24_Exam1.pdf,other
Fundamentals of Semiconductor Devices/Previous Exams/Solution-18310S23_Exam1.pdf,other
Fundamentals of Semiconductor Devices/Previous Exams/Solution-18310S24_Exam1.pdf,other
Geology/Lab Lectures/2025 Geology Lab 1 Presentation.pdf,other
Geology/Lecture Slides/2025 Lecture 1 Overview.pdf,other
Geology/Lecture Slides/2025 Lecture 2 Atoms Elements Chemistry.pdf,other
Geology/Lecture Slides/2025 Lecture 3 Igneous Rocks Part 1.pdf,other
Geology/Lecture Slides/2025 Lecture 3 Igneous Rocks Part 2.pdf,other
Geology/Lecture Slides/2025 Lecture 4 Weathering.pdf,other
Geology/Lecture Slides/2025 Lecture 6 Sedimentary Rocks Part 1.pdf,other
Geology/Lecture Slides/2025 Lecture 6 Sedimentary Rocks part 2.pdf,other
Geology/Lecture Slides/2025 Lecture 6 Sedimentary Rocks part 3.pdf,other
Geology/Syllabus/2025 12201 Syllabus V1 .docx.pdf,syllabus
